date,symbol,equity,cash,positions
2020-01-02,NVDA,100000,100000,0
2020-01-03,NVDA,100000,100000,0
2020-01-06,NVDA,100000,100000,0
2020-01-07,NVDA,100000,100000,0
2020-01-08,NVDA,100000,100000,0
2020-01-09,NVDA,100000,100000,0
2020-01-10,NVDA,100000,100000,0
2020-01-13,NVDA,100000,100000,0
2020-01-14,NVDA,100000,100000,0
2020-01-15,NVDA,100000,100000,0
2020-01-16,NVDA,100000,100000,0
2020-01-17,NVDA,100000,100000,0
2020-01-21,NVDA,100000,100000,0
2020-01-22,NVDA,100000,100000,0
2020-01-23,NVDA,100000,100000,0
2020-01-24,NVDA,100000,100000,0
2020-01-27,NVDA,100000,100000,0
2020-01-28,NVDA,100000,100000,0
2020-01-29,NVDA,100000,100000,0
2020-01-30,NVDA,100000,100000,0
2020-01-31,NVDA,100000,100000,0
2020-02-03,NVDA,100000,100000,0
2020-02-04,NVDA,100000,100000,0
2020-02-05,NVDA,100000,100000,0
2020-02-06,NVDA,100000,100000,0
2020-02-07,NVDA,100000,100000,0
2020-02-10,NVDA,100000,100000,0
2020-02-11,NVDA,100000,100000,0
2020-02-12,NVDA,100000,100000,0
2020-02-13,NVDA,100000,100000,0
2020-02-14,NVDA,100000,100000,0
2020-02-18,NVDA,100000,100000,0
2020-02-19,NVDA,100000,100000,0
2020-02-20,NVDA,100000,100000,0
2020-02-21,NVDA,100000,100000,0
2020-02-24,NVDA,100000,100000,0
2020-02-25,NVDA,100000,100000,0
2020-02-26,NVDA,100000,100000,0
2020-02-27,NVDA,100000,100000,0
2020-02-28,NVDA,100000,100000,0
2020-03-02,NVDA,100000,100000,0
2020-03-03,NVDA,100000,100000,0
2020-03-04,NVDA,100000,100000,0
2020-03-05,NVDA,100000,100000,0
2020-03-06,NVDA,100000,100000,0
2020-03-09,NVDA,100000,100000,0
2020-03-10,NVDA,100000,100000,0
2020-03-11,NVDA,100000,100000,0
2020-03-12,NVDA,100000,100000,0
2020-03-13,NVDA,100000,100000,0
2020-03-16,NVDA,100000,100000,0
2020-03-17,NVDA,100000,100000,0
2020-03-18,NVDA,100000,100000,0
2020-03-19,NVDA,100000,100000,0
2020-03-20,NVDA,100000,100000,0
2020-03-23,NVDA,100000,100000,0
2020-03-24,NVDA,100000,100000,0
2020-03-25,NVDA,100000,100000,0
2020-03-26,NVDA,100000,100000,0
2020-03-27,NVDA,100000,100000,0
2020-03-30,NVDA,100000,100000,0
2020-03-31,NVDA,100000,100000,0
2020-04-01,NVDA,100000,100000,0
2020-04-02,NVDA,100000,100000,0
2020-04-03,NVDA,100000,100000,0
2020-04-06,NVDA,100000,100000,0
2020-04-07,NVDA,100000,100000,0
2020-04-08,NVDA,100000,100000,0
2020-04-09,NVDA,100000,100000,0
2020-04-13,NVDA,100000,100000,0
2020-04-14,NVDA,100000,100000,0
2020-04-15,NVDA,100000,100000,0
2020-04-16,NVDA,100000,100000,0
2020-04-17,NVDA,100000,100000,0
2020-04-20,NVDA,100000,100000,0
2020-04-21,NVDA,100000,100000,0
2020-04-22,NVDA,100000,100000,0
2020-04-23,NVDA,100000,100000,0
2020-04-24,NVDA,100000,100000,0
2020-04-27,NVDA,100000,100000,0
2020-04-28,NVDA,100000,100000,0
2020-04-29,NVDA,100000,100000,0
2020-04-30,NVDA,100000,100000,0
2020-05-01,NVDA,100000,100000,0
2020-05-04,NVDA,100000,100000,0
2020-05-05,NVDA,100000,100000,0
2020-05-06,NVDA,100000,100000,0
2020-05-07,NVDA,100000,100000,0
2020-05-08,NVDA,100000,100000,0
2020-05-11,NVDA,100000,100000,0
2020-05-12,NVDA,110314.75,109993.71,1
2020-05-13,NVDA,110342.65,109993.71,1
2020-05-14,NVDA,110032.1,109993.71,1
2020-05-15,NVDA,109461.54,109993.71,1
2020-05-18,NVDA,109456.27,109456.27,0
2020-05-19,NVDA,120319.58,120394.15,1
2020-05-20,NVDA,120113.85,120394.15,1
2020-05-21,NVDA,132360.4,132105.78,1
2020-05-22,NVDA,132024.51,132105.78,1
2020-05-26,NVDA,132437.34,132105.78,1
2020-05-27,NVDA,132694.94,132105.78,1
2020-05-28,NVDA,132746.13,132105.78,1
2020-05-29,NVDA,132740.45,132740.45,0
2020-06-01,NVDA,132740.45,132740.45,0
2020-06-02,NVDA,132740.45,132740.45,0
2020-06-03,NVDA,132740.45,132740.45,0
2020-06-04,NVDA,132740.45,132740.45,0
2020-06-05,NVDA,132740.45,132740.45,0
2020-06-08,NVDA,132740.45,132740.45,0
2020-06-09,NVDA,132740.45,132740.45,0
2020-06-10,NVDA,132740.45,132740.45,0
2020-06-11,NVDA,132740.45,132740.45,0
2020-06-12,NVDA,132740.45,132740.45,0
2020-06-15,NVDA,132740.45,132740.45,0
2020-06-16,NVDA,132740.45,132740.45,0
2020-06-17,NVDA,132740.45,132740.45,0
2020-06-18,NVDA,132740.45,132740.45,0
2020-06-19,NVDA,132740.45,132740.45,0
2020-06-22,NVDA,132740.45,132740.45,0
2020-06-23,NVDA,132740.45,132740.45,0
2020-06-24,NVDA,132740.45,132740.45,0
2020-06-25,NVDA,132740.45,132740.45,0
2020-06-26,NVDA,132740.45,132740.45,0
2020-06-29,NVDA,132740.45,132740.45,0
2020-06-30,NVDA,132740.45,132740.45,0
2020-07-01,NVDA,132740.45,132740.45,0
2020-07-02,NVDA,132740.45,132740.45,0
2020-07-06,NVDA,132740.45,132740.45,0
2020-07-07,NVDA,132740.45,132740.45,0
2020-07-08,NVDA,132740.45,132740.45,0
2020-07-09,NVDA,145616.98,146004.22,1
2020-07-10,NVDA,160187.42,160153.5,1
2020-07-13,NVDA,160778.64,160153.5,1
2020-07-14,NVDA,160328.99,160153.5,1
2020-07-15,NVDA,160536.33,160153.5,1
2020-07-16,NVDA,160664.4,160153.5,1
2020-07-17,NVDA,160571.99,160153.5,1
2020-07-20,NVDA,160143.8,160153.5,1
2020-07-21,NVDA,160396.14,160153.5,1
2020-07-22,NVDA,160243.49,160153.5,1
2020-07-23,NVDA,160671.33,160153.5,1
2020-07-24,NVDA,160581.68,160153.5,1
2020-07-27,NVDA,160267.38,160153.5,1
2020-07-28,NVDA,160552.6,160153.5,1
2020-07-29,NVDA,160206.45,160153.5,1
2020-07-30,NVDA,160000.84,160153.5,1
2020-07-31,NVDA,159999.8,160153.5,1
2020-08-03,NVDA,159452.2,160153.5,1
2020-08-04,NVDA,159444.58,159444.58,0
2020-08-05,NVDA,159444.58,159444.58,0
2020-08-06,NVDA,175301.83,175378.66,1
2020-08-07,NVDA,175493.92,175378.66,1
2020-08-10,NVDA,175542.65,175378.66,1
2020-08-11,NVDA,175987.57,175378.66,1
2020-08-12,NVDA,175153.87,175378.66,1
2020-08-13,NVDA,175149.99,175378.66,1
2020-08-14,NVDA,174979.08,175378.66,1
2020-08-17,NVDA,191280.11,192458.4,1
2020-08-18,NVDA,210489.97,210381.35,1
2020-08-19,NVDA,210679.43,210381.35,1
2020-08-20,NVDA,210675.55,210381.35,1
2020-08-21,NVDA,209834.78,210381.35,1
2020-08-24,NVDA,230713.37,230784.62,1
2020-08-25,NVDA,230664.18,230784.62,1
2020-08-26,NVDA,230626.16,230784.62,1
2020-08-27,NVDA,230865.48,230784.62,1
2020-08-28,NVDA,230006.57,230784.62,1
2020-08-31,NVDA,252570.22,252978.28,1
2020-09-01,NVDA,251782.11,252978.28,1
2020-09-02,NVDA,275957.44,276927.01,1
2020-09-03,NVDA,306059.46,303514.18,1
2020-09-04,NVDA,306046.94,306046.94,0
2020-09-08,NVDA,306046.94,306046.94,0
2020-09-09,NVDA,306046.94,306046.94,0
2020-09-10,NVDA,306046.94,306046.94,0
2020-09-11,NVDA,306046.94,306046.94,0
2020-09-14,NVDA,306046.94,306046.94,0
2020-09-15,NVDA,306046.94,306046.94,0
2020-09-16,NVDA,306046.94,306046.94,0
2020-09-17,NVDA,306046.94,306046.94,0
2020-09-18,NVDA,306046.94,306046.94,0
2020-09-21,NVDA,306046.94,306046.94,0
2020-09-22,NVDA,306046.94,306046.94,0
2020-09-23,NVDA,306046.94,306046.94,0
2020-09-24,NVDA,306046.94,306046.94,0
2020-09-25,NVDA,306046.94,306046.94,0
2020-09-28,NVDA,306046.94,306046.94,0
2020-09-29,NVDA,306046.94,306046.94,0
2020-09-30,NVDA,306046.94,306046.94,0
2020-10-01,NVDA,306046.94,306046.94,0
2020-10-02,NVDA,306046.94,306046.94,0
2020-10-05,NVDA,306046.94,306046.94,0
2020-10-06,NVDA,306046.94,306046.94,0
2020-10-07,NVDA,306046.94,306046.94,0
2020-10-08,NVDA,306046.94,306046.94,0
2020-10-09,NVDA,336787.7,336634.93,1
